47110021,15.426
47110022,19.400
47110027,27.923
47110028,31.385
47110029,31.667
47110030,50.263
47110031,48.571
47110032,35.500
47110033,62.200
47110035,57.692
47110038,51.800
47110039,32.062
47110040,36.750
47110041,56.760
47110042,66.542
47110043,63.125
47110044,54.714
47110045,54.588
47110046,50.158
47110047,32.231
47110048,35.000
47110049,49.150
47110050,56.550
47110051,41.125
47110052,66.250
47110053,69.423
47110054,76.532
47110055,71.923
47110056,76.652
47110057,68.321
47110058,66.533
47110059,79.000
47110060,84.000
47110061,85.250
47110062,91.083
47110063,84.500
47110064,90.500
47110065,94.515
47110066,93.701
47110067,96.511
47110068,92.043
47110069,91.191
47110070,75.591
47110074,52.865
47110075,47.222
47110076,64.800
47110077,77.000
47110078,84.059
47110079,89.326
47110080,89.714
47110081,82.917
47110082,85.150
47110083,74.739
47110084,83.750
47110085,75.667
47110086,73.657
47110087,72.143
47110088,68.538
47110089,80.607
47110090,74.773
47110091,87.350
47110092,78.543
47110093,89.833
47110094,87.483
47110095,81.000
47110096,54.750
47110097,79.000
47110098,77.636
47110099,81.737
47110100,71.625
47110101,69.750
47110102,70.237
47110103,62.952
47110104,71.107
47110105,69.706
47110106,60.691
47110107,58.714
47110108,56.636
47110109,70.467
47110110,74.192
47110111,63.700
47110112,60.550
47110113,50.250
47110114,37.333
47110116,42.750
47110123,52.263
47110126,63.500
47110127,48.167
47110128,63.154
47110129,48.688
47110130,51.750
47110131,37.615
47110132,40.467
47110133,41.533
47110134,48.865
47110143,38.778
47110144,35.083
47110145,29.000
47110146,38.000
47110147,22.261
47110148,36.824
47110149,19.067
47110151,41.057
47110152,40.941
47110153,60.178
47110154,54.500
47110155,51.667
47110157,67.056
47110160,63.586
47110161,68.667
47110162,70.800
47110163,44.625
47110164,44.930
47110165,33.300
47110166,35.667
47110167,38.000
47110168,43.875
47110169,49.267
47110170,63.833
47110179,53.952
47110180,55.952
47110181,63.909
47110182,65.129
47110183,74.905
47110184,83.118
47110185,76.931
47110186,66.792
47110187,53.000
47110188,53.861
47110189,46.986
47110190,39.517
47110191,35.000
47110193,43.800
47110194,47.845
47110287,20.750
47110288,30.040
47110290,32.500
47110291,36.458
47110292,36.667
47110293,48.061
47110295,37.515
47110296,58.207
47110297,70.522
47110299,65.429
47110300,66.000
47110301,55.880
47110302,43.778
47110303,66.053
47110304,64.667
47110305,42.750
47110306,38.949
47110307,52.667
47110308,68.607
47110309,73.316
47110310,63.438
47110311,55.118
47110313,18.089
47110314,30.929
47110315,31.122
47110316,30.923
47110317,30.944
47110318,42.920
47110319,24.750
47110323,30.500
47110324,27.909
47110325,22.059
47110326,21.556
47110327,18.469
47110328,70.615
47110329,58.389
47110330,60.417
47110331,43.000
47110338,29.511
47110339,22.400
47110340,29.357
47110341,27.471
47110342,23.500
47110343,22.667
47110344,36.111
47110347,36.286
47110348,37.028
47110349,43.500
47110350,37.000
47110351,38.417
47110353,24.917
47110354,30.700
47110355,19.316
47110356,13.549
47110357,32.933
47110358,39.815
47110359,53.000
47110362,55.615
47110363,44.306
47110365,82.118
47110367,63.917
47110368,58.824
47110369,51.250
47110370,59.583
47110371,46.036
47110372,40.783
47110373,41.476
47110374,20.843
47110375,28.735
47110376,22.606
47110377,38.176
47110378,41.500
47110379,44.308
47110380,44.394
47110381,51.600
47110382,57.667
47110383,60.594
47110384,59.923
47110385,55.760
47110386,55.571
47110387,19.070
47110388,51.009
47110389,66.150
47110390,78.559
47110391,84.030
47110392,74.455
47110394,64.773
47110395,48.577
47110396,74.286
47110397,26.455
47110401,31.075
47110402,28.000
47110403,41.000
47110404,82.449
47110405,78.964
47110406,71.793
47110407,78.222
47110408,82.000
47110409,73.190
47110410,81.375
47110411,81.947
47110412,88.069
47110413,72.700
47110434,38.333
47110435,56.125
47110436,39.355
47110439,27.000
47110440,28.833
47110441,51.167
47110442,65.842
47110443,59.000
47110444,57.500
47110445,77.182
47110446,64.312
47110447,59.312
47110448,60.111
47110449,82.545
47110450,73.839
47110451,78.750
47110452,72.000
47110453,70.053
47110455,60.763
47110456,51.882
47110457,55.667
47110460,26.667
47110461,66.226
47110463,25.000
47110466,20.963
47110467,21.966
47110468,40.214
47110469,45.727
47110470,35.964
47110471,35.857
47110472,65.316
47110473,65.000
47110474,71.071
47110475,30.111
47110506,19.375
47110507,27.286
47110508,24.921
47110509,31.800
47110510,48.667
47110511,40.462
47110512,39.000
47110513,46.214
47110514,49.500
47110515,49.286
47110516,53.167
47110517,45.619
47110518,47.357
47110519,51.538
47110520,51.471
47110521,50.677
47110522,45.444
47110523,55.000
47110524,18.357
47110531,47.351
47110532,46.737
47110533,51.645
47110534,53.414
47110535,51.304
47110536,47.455
47110537,55.857
47110538,65.900
47110539,67.880
47110540,34.276
47110541,49.737
47110542,55.238
47110543,58.308
47110544,53.826
47110545,73.667
47110546,71.215
47110547,56.333
47110548,23.737
47110549,52.667
47110550,44.889
47110551,66.400
47110552,58.000
47110553,57.333
47110554,28.714
47110555,30.400
47110556,20.857
47110557,42.100
47110558,56.143
47110559,76.056
47110560,76.714
47110561,76.444
47110562,76.486
47110563,63.273
