trip_id,route_id,block_id,shape_id,service_id,direction,bikes,wheelchairs,headsign
965538,10215,52049,73903,3,0,0,0,Lakeridge
978477,10166,51926,73689,1,1,0,0,Not In Service
978753,10161,52182,74419,3,0,0,0,Meadowgreen
979188,10160,52179,74019,2,1,0,0,City Centre
977884,10157,51843,73604,3,0,0,0,City Centre
966242,10226,51907,73952,1,0,0,0,University via Taylor
966261,10226,51897,73955,1,1,0,0,Centre Mall via Taylor
979036,10165,51861,73685,2,1,0,0,City Centre
966353,10226,51921,73954,3,1,0,0,Centre Mall via Taylor
965234,10202,52004,73851,1,1,0,0,University
977900,10157,51843,73606,3,1,0,0,Exhibition
962328,10162,51895,73661,3,1,0,0,City Centre
965186,10202,52047,73849,1,0,0,0,Lakeview
978892,10159,51863,73611,2,1,0,0,City Centre
979070,10165,51864,73684,3,1,0,0,City Centre
963660,10173,51928,73721,2,1,0,0,Valley Road
963745,10174,51959,73723,1,0,0,0,Stonebridge
969200,10234,52147,73994,2,1,0,0,University
963670,10173,51883,73721,2,1,0,0,Valley Road
979440,10170,51941,73698,2,1,0,0,City Centre
962480,10164,51898,73674,1,0,0,0,Centre Mall
969247,10221,52153,74007,2,0,0,0,University via City Centre
962817,10164,51919,73680,3,1,0,0,City Centre
978609,10161,51876,73638,1,1,0,0,City Centre
970240,10234,52193,74002,3,1,0,0,University
962724,10164,51915,73680,2,1,0,0,City Centre
966664,10229,51913,73969,2,1,0,0,Centre Mall
965240,10202,52006,73851,1,1,0,0,University
964330,10183,51999,73763,1,1,0,0,Lawson Heights
961990,10162,51886,73651,1,0,0,0,University
962677,10164,51914,73678,2,0,0,0,Centre Mall
962248,10162,51891,73659,2,1,0,0,Market Mall
979341,10170,51937,73696,1,0,0,0,River Heights
966698,10230,51896,73971,1,0,0,0,Rosewood
968343,10221,52089,74008,1,1,0,0,Confederation via City Centre
965989,10224,52118,73942,1,1,0,0,Hampton Village
964791,10197,52017,73819,1,1,0,0,City Centre
978402,10166,51928,73687,2,0,0,0,Pleasant Hill
966539,10228,51899,73966,1,1,0,0,Stonebridge
962775,10164,51920,73677,3,0,0,0,Centre Mall
966555,10229,51902,73967,1,0,0,0,Briarwood
968021,10201,52457,74021,1,1,0,0,City Centre
966496,10227,51920,73961,3,1,0,0,Centre Mall via Main
967951,10232,52167,73987,1,1,0,0,City Centre
966628,10229,52061,73968,2,0,0,0,Briarwood
964008,10175,51976,73730,3,0,0,0,University via Boychuk
966550,10228,51911,73966,1,1,0,0,Stonebridge
970187,10234,52194,73992,3,0,0,0,Forest Grove
966247,10226,51904,73952,1,0,0,0,University via Taylor
966018,10224,52057,73938,2,0,0,0,Confederation Terminal
962540,10164,51896,73674,1,0,0,0,Centre Mall
970227,10234,52193,73994,3,1,0,0,University
978503,10166,51925,73688,1,1,0,0,City Centre
968901,10233,52144,73980,2,1,0,0,City Centre
969254,10221,52156,74007,2,0,0,0,University via City Centre
970195,10234,52194,73992,3,0,0,0,Forest Grove
979458,10170,51945,73696,3,0,0,0,River Heights
964336,10183,52000,73761,2,0,0,0,Lawson Heights
970287,10235,52194,73999,3,1,0,0,University
977763,10157,51836,73604,1,0,0,0,City Centre
966262,10226,51904,73955,1,1,0,0,Centre Mall via Taylor
966507,10228,51907,73963,1,0,0,0,Centre Mall
962302,10162,51895,73659,3,1,0,0,Market Mall
979064,10165,51864,73684,3,1,0,0,City Centre
965501,10215,51970,73903,2,0,0,0,Lakeridge
966788,10230,51913,73974,2,1,0,0,Centre Mall
968784,10233,52146,73980,2,1,0,0,City Centre
968342,10221,52088,74008,1,1,0,0,Confederation via City Centre
963866,10174,51964,73724,3,0,0,0,Stonebridge
977957,10163,51834,73666,1,1,0,0,City Centre
966636,10229,51916,73968,2,0,0,0,Briarwood
965739,10222,52105,74015,1,0,0,0,University via City Centre
970234,10234,52192,74002,3,1,0,0,University
965873,10222,52058,73925,3,0,0,0,Confederation Terminal
968803,10236,52144,73984,2,0,0,0,Willowgrove
978426,10166,51929,73688,2,1,0,0,City Centre
