stop_id,stop_code,stop_lat,stop_lon,location_type,wheelchair_boarding,name
5873,5873,52.146696,-106.58292,None,0,St. Joseph High School
4300,4300,52.101873,-106.588719,None,0,Taylor / Heritage
3810,3810,52.170357,-106.664971,None,0,Faithfull / 50th Street
3240,3240,52.143941,-106.693069,None,0,33rd Street / Howell
3973,3973,52.118666,-106.708733,None,0,Appleby / Dundurn
3277,3277,52.135597,-106.731138,None,0,Diefenbaker / Mowat
4057,4057,52.103362,-106.656869,None,0,Broadway / Hilliard
5739,5739,52.114635,-106.700494,None,0,11th Street / Avenue U
3585,3585,52.14195,-106.749576,None,0,Steeves / John A MacDonald
3008,3008,52.134767,-106.622618,None,0,108th Street / Preston
4168,4168,52.100134,-106.64924,None,0,Ruth Street / York Avenue
4450,4450,52.121596,-106.634804,None,0,Cumberland / 14th Street
5662,5662,52.127182,-106.740607,None,0,Hart / crosswalk
3349,3349,52.114667,-106.640931,None,0,8th Street / Munroe
5373,5373,52.143791,-106.662843,None,0,33rd Street / Quebec
5627,5627,52.163783,-106.675959,None,0,45th Street / Wheaton
5453,5453,52.097141,-106.656594,None,0,Broadway / Cascade
3288,3288,52.163784,-106.679119,None,0,45th Street / Hanselman
3912,3912,52.146427,-106.7389,None,0,Latrace / Wedge
3148,3148,52.162798,-106.593796,None,0,Beerling / Konihowski
3089,3089,52.126228,-106.676986,None,0,20th Street / Avenue E
4181,4181,52.110439,-106.63516,None,0,Cumberland / 3rd Street
3024,3024,52.107141,-106.67052,None,0,Lorne / Taylor
3388,3388,52.111273,-106.598788,None,0,Acadia / Parkdale
3957,3957,52.13863,-106.70067,None,0,30th Street / Avenue T
4336,4336,52.100839,-106.610713,None,0,Arlington / Louise Street
3160,3160,52.131244,-106.667555,None,0,23rd Street / Pacific
3737,3737,52.167249,-106.64202,None,0,Primrose / Coppermine
5584,5584,52.194833,-106.674635,None,0,Marquis / Idylwyld Service
5855,5855,52.10033,-106.62319,None,0,Louise / Preston
5384,5384,52.111007,-106.712503,None,0,Dudley / McLeod
3142,3142,52.129224,-106.710051,None,0,22nd Street / Witney
4179,4179,52.133593,-106.724581,None,0,Confederation / Laurier
3312,3312,52.139184,-106.652222,None,0,7th Avenue / Princess
5597,5597,52.142702,-106.622862,None,0,Preston Avenue / Reasearch
3646,3646,52.173365,-106.632566,None,0,Russell / Lenore
5773,5773,52.137306,-106.585095,None,0,Kerr / Kellough
3242,3242,52.143772,-106.713984,None,0,33rd Street / Northumberland
4464,4464,52.134733,-106.571391,None,0,Kerr / Chotem
5759,5759,52.124664,-106.675816,None,0,19th Street / Avenue D
3849,3849,52.139564,-106.718106,None,0,Massey / Northumberland
3219,3219,52.113241,-106.703223,None,0,Dudley / Avenue W
3127,3127,52.12935,-106.694349,None,0,22nd Street / Avenue P
5733,5733,52.121835,-106.71433,None,0,18th Street / Winnipeg
4187,4187,52.123622,-106.634804,None,0,Cumberland / Colony
4125,4125,52.122595,-106.64659,None,0,Clarence / 15th Street
3339,3339,52.114546,-106.651028,None,0,8th Street / Lansdowne
