trip_id,route_id,block_id,shape_id,service_id,direction,bikes,wheelchairs,headsign
953770,10080,a_51394,73223,1_merged_979665,1,0,0,Centre Mall
956224,10089,b_51647,73304,2_merged_979670,1,0,0,City Centre
956494,10091,b_51656,73313,1_merged_979668,1,0,0,Not In Service
949093,10012,a_51373,72903,2_merged_979667,0,0,0,City Centre
956558,10091,b_51659,73314,2_merged_979670,1,0,0,City Centre
955389,10087,b_51618,73275,1_merged_979668,0,0,0,Broadway
955508,10087,b_51621,73283,1_merged_979668,1,0,0,City Centre
955250,10086,b_51614,73261,2_merged_979670,0,0,0,McCormack
949433,10014,a_51380,72927,1_merged_979665,0,0,0,Centre Mall
948395,10009,a_51342,72861,3_merged_979666,1,0,0,City Centre
949571,10014,a_51381,72930,1_merged_979665,1,0,0,City Centre
960042,10152,b_51654,73586,3_merged_979669,1,0,0,Centre Mall via Main
950124,10020,a_51419,72948,1_merged_979665,1,0,0,City Centre
957736,10106,b_51730,73379,1_merged_979668,1,0,0,Out of Service
955802,10087,b_51627,73285,3_merged_979669,1,0,0,Market Mall
952870,10072,a_51551,73180,2_merged_979667,1,0,0,None
949670,10014,a_51396,72927,2_merged_979667,0,0,0,Centre Mall
967644,10086,b_51608,73265,1_merged_979668,1,0,0,City Centre
957894,10108,b_51736,73389,2_merged_979670,1,0,0,City Centre
949424,10013,a_51319,72916,3_merged_979666,1,0,0,City Centre
955009,10085,b_51602,73242,2_merged_979670,0,0,0,Mayfair
956555,10091,b_51659,73314,2_merged_979670,1,0,0,City Centre
956698,10095,b_51667,73324,1_merged_979668,1,0,0,City Centre
957853,10108,b_51735,73390,1_merged_979668,1,0,0,Lawson Heights
967619,10086,b_51612,73262,1_merged_979668,0,0,0,Not in Service
955847,10088,b_51563,73291,1_merged_979668,1,0,0,City Centre
949849,10015,a_51337,72931,2_merged_979667,0,0,0,Riversdale
956985,10097,b_51686,73339,2_merged_979670,1,0,0,City Centre
952312,10052,a_51496,73101,2_merged_979667,1,0,0,University
950149,10020,a_51322,72949,1_merged_979665,1,0,0,Airport
949133,10012,a_51374,72911,2_merged_979667,1,0,0,City Centre
948049,10007,a_51319,72854,3_merged_979666,0,0,0,City Centre
957439,10100,b_51699,73356,1_merged_979668,1,0,0,College Park
948005,10007,a_51315,72854,2_merged_979667,0,0,0,City Centre
956736,10095,b_51575,73320,2_merged_979670,0,0,0,City Centre
956480,10091,b_51657,73313,1_merged_979668,1,0,0,Not In Service
949655,10014,a_51396,72928,2_merged_979667,0,0,0,Centre Mall
955037,10085,b_51602,73252,2_merged_979670,1,0,0,Willowgrove
949199,10012,a_51374,72911,2_merged_979667,1,0,0,City Centre
950914,10025,a_51452,72980,1_merged_979665,0,0,0,University via Boychuk
959172,10146,b_51767,73548,1_merged_979668,1,0,0,Confederation
953518,10077,a_51406,73211,3_merged_979666,1,0,0,Centre Mall via Main
956006,10089,b_51638,73296,1_merged_979668,0,0,0,Centre Mall
951199,10030,a_52198,72999,1_merged_979665,1,0,0,University
952078,10051,a_51509,73094,1_merged_979665,1,0,0,City Centre
958714,10126,b_51784,73471,3_merged_979669,1,0,0,Garage
955685,10087,b_51625,73285,2_merged_979670,1,0,0,Market Mall
957444,10100,b_51699,73356,1_merged_979668,1,0,0,College Park
951934,10050,a_51518,73083,1_merged_979665,1,0,0,City Centre
957290,10099,b_51691,73351,1_merged_979668,1,0,0,University
958274,10122,b_51733,73441,1_merged_979668,0,0,0,Silverwood Heights
957259,10099,b_51690,73349,1_merged_979668,0,0,0,Stonebridge
950874,10024,a_51449,72977,3_merged_979666,1,0,0,University
953503,10077,a_51405,73208,3_merged_979666,0,0,0,University
951955,10050,a_51510,73083,1_merged_979665,1,0,0,City Centre
955599,10087,b_51622,73273,2_merged_979670,0,0,0,University
956718,10095,b_51673,73321,2_merged_979670,0,0,0,River Heights
950729,10024,a_51444,72973,1_merged_979665,0,0,0,Stonebridge
951969,10050,a_51524,73077,2_merged_979667,0,0,0,Evergreen
