,Bus Rider?,Postal Code
,Yes,S7L 3Z3
,Yes,S7H 3Y5
,Yes,S7K 2J9
,Yes,S7K 7A9
,Yes,S7M 0E6
,Yes,S7V 1G4
,Yes,S7K 4A7
,Yes,S7N 1S2
,Yes,S7J 2T5
,Yes,S7J 2X3
,Yes,S7V 0E1
,Yes,S7M 5A7
,Yes,S7K 1H2
,Yes,S7H 4P9
,Yes,S7N 1H3
,Yes,S7H 1B3
,Yes,S7T 0W7
,Yes,S7N 1L6
,Yes,S7M 1R1
,Yes,S7H 2C2
,Yes,S7H 3P1
,Yes,S7R 1E6
,Yes,S7L 5B7
,No,S7H 3Z7
,Yes,S7N 4T7
,Yes,S7H 2E1
,Yes,S7H 2E1
,Yes,S7V 0A5
,Yes,S7S 1H6
,Yes,S7N 3W9
,Yes,S7H 1A7
,Yes,S7V 1K5
,Yes,S7S 1K3
,Yes,S7K 2M3
,Yes,S7N 0J8
,Yes,S7K 2N6
,Yes,S7J 2X3
,Yes,S7W 0B8
,Yes,S7S 1L1
,Yes,S7N 2V4
,Yes,S7N 2V4
,Yes,S7L 5E3
,Yes,S7N 2T3
,Yes,S7H 1A4
,Yes,S7V 1C9
,Yes,S7K 7K6
,Yes,S7J 1C3
,Yes,S7S 1P2
,Yes,S7N 1L6
,Yes,S7N 5E8
,Yes,S7N 0J8
,Yes,S7V 0A4
,Yes,S7H 4M6
,Yes,S7J 0W5
,Yes,S7H 1P7
,Yes,S7J 2T4
,Yes,S7K 5E4
,Yes,S7H 2W1
,Yes,S7M 0N2
,Yes,S7H 2W3
,Yes,S7N 2R6
,Yes,S7V 0K5
,Yes,S7K 6A5
,Yes,S7L 3P6
,No,S7M 3G7
,Yes,S7N 1M8
,Yes,S7W 1C1
,Yes,S7M 2W3
,Yes,S7N 2R6
,Yes,S7W 0N1
,Yes,S7H 0Z1
,Yes,S7N 0S6
,Yes,S7S 1K3
,Yes,S7T 0T4
,Yes,S7K 7A9
,Yes,S7K 6C9
,Yes,S7J 4K5
,Yes,S7H 1P3
,Yes,S7H 0G6
,Yes,S7N 1L7
,Yes,S7J 2C3
,Yes,S7K 7X9
,Yes,S7H 0M3
,Yes,S7H 3V8
,Yes,S7W 0T3
,Yes,S7T 0M8
,Yes,S7K 4K5
,No,S7M 3L7
,Yes,S7K 0A5
,Yes,S7N 1K5
,Yes,S7R 0C7
,Yes,S7M 3K3
,Yes,S7V 1B7
,Yes,S7H 5N8
,No,S7M 4G9
,No,S7M 2M7
,Yes,S7N 0C7
,Yes,S7M 0T5
,Yes,S7M 4G9
,Yes,S7M 2M3
,Yes,S7K 6A5
,Yes,S7N 1P6
,Yes,S7H 1E3
,Yes,S7N 3H2
,Yes,S7L 1R2
,Yes,S7N 1W8
,Yes,S7N 2E1
,Yes,S7H 2H5
,Yes,S7L 6S8
,Yes,S7H 5L6
,Yes,S7M 1C8
,Yes,S7K 6X7
,Yes,S7K 5G8
,Yes,S7L 6T6
,Yes,S7N 1L5
,Yes,S7N 2R6
,Yes,S7L 2J8
,Yes,S7T 0P6
,Yes,S7N 3X2
,Yes,S7L 2G9
,Yes,S7V 0E2
,Yes,S7L 4P3
,Yes,S7H 1T2
,Yes,S7H 0L6
,Yes,S7L 3J3
,Yes,S7L 2L8
,Yes,S7K 1C4
,Yes,S7T 0W2
,Yes,S7V 1E1
,Yes,S7L 1K4
,Yes,S7J 1T9
,Yes,S7M 1E9
,Yes,S7H 1A2
,Yes,S7N 1G8
,Yes,S7M 2Y3
,Yes,S0K 2T0
,Yes,S7T 0E6
,Yes,S7H 2B3
,Yes,S7H 2B3
,Yes,S7H 2K3
,Yes,S7M 2G4
,Yes,S7T 0Y2
,Yes,S7M 0A7
,Yes,S7M 1W6
,Yes,S7L 7H4
,Yes,S7K 1L7
,Yes,S7L 3W8
,Yes,S7N 1L7
,Yes,S7V 1K4
,Yes,S7N 1L5
,Yes,S7N 1L6
,Yes,S7K 2M4
,Yes,S7M 1N6
,Yes,S7J 5J4
,Yes,S7L 1S8
