S0K0A1S0K4747114711066Saskatoon                                                             CY 06672510005.003099474701200009471106940003  52.103518  -106.73521902WARMAN                        WW20071001190000010BNN30
S0K0A1S0K4747114711066Saskatoon                                                             CY 06672510005.003099474700400009471106940003  52.103518  -106.73521902WARMAN                        WW20071001190000010BNN30
S0K1E0S0K4747114711066Saskatoon                                                             CY 06672510018.043099474701200009471104010003  52.153045  -106.72740713DALMENY                       WW19830401190000012BNN30
S0K1E0S0K4747114711066Saskatoon                                                             CY 06672510021.013099474701200009471106910003  52.161276  -106.66093003DALMENY                       WW19830401190000012BNN30
S0K1E0S0K4747114711066Saskatoon                                                             CY 06672510100.023099474701200009471105810003  52.128495  -106.75843803DALMENY                       WW19830401190000012BNN30
S0K1E0S0K4747114711066Saskatoon                                                             CY 06672510018.053099474701200009471103740003  52.154010  -106.70993603DALMENY                       WW19830401190000012BNN30
S0K1E0S0K4747114711066Saskatoon                                                             CY 06672510018.043099474700400009471104010003  52.153045  -106.72740703DALMENY                       WW19830401190000012BNN30
S0K1E0S0K4747114711066Saskatoon                                                             CY 06672510100.023099474700400009471105810003  52.128495  -106.75843803DALMENY                       WW19830401190000012BNN30
S0K1E0S0K4747114711066Saskatoon                                                             CY 06672510018.053099474700400009471103740003  52.154010  -106.70993603DALMENY                       WW19830401190000012BNN30
S0K1E0S0K4747114711066Saskatoon                                                             CY 06672510021.013099474700400009471106910003  52.161276  -106.66093003DALMENY                       WW19830401190000012BNN30
S7H0A1S7H4747114711066Saskatoon                                                             CY 06672510014.003099474701107381471101000011  52.121728  -106.64589011SASKATOON                     AA19830401190000010BAA14
S7H0A1S7H4747114711066Saskatoon                                                             CY 06672510014.003099474701107381471101000011  52.121731  -106.64465401SASKATOON                     AA19830401190000010BAA14
S7H0A2S7H4747114711066Saskatoon                                                             CY 06672510012.013099474701107381471101110012  52.122345  -106.60097011SASKATOON                     AA19830401190000010BAN14
S7H0A2S7H4747114711066Saskatoon                                                             CY 06672510011.033099474701199470471101080012  52.125607  -106.61398201SASKATOON                     AA19830401190000010BAN11
S7H0A3S7H4747114711066Saskatoon                                                             CY 06672510014.003099474701107381471101000041  52.121742  -106.64334811SASKATOON                     AA19830401190000010BAA14
S7H0A3S7H4747114711066Saskatoon                                                             CY 06672510014.003099474701107381471101000041  52.121746  -106.64211601SASKATOON                     AA19830401190000010BAA14
S7H0A4S7H4747114711066Saskatoon                                                             CY 06672510014.003099474701107381471101000051  52.121739  -106.64023811SASKATOON                     AA19830401190000010BAA14
S7H0A5S7H4747114711066Saskatoon                                                             CY 06672510012.013099474701107381471101110012  52.122345  -106.60097011SASKATOON                     AA19830401190000010BAN14
S7H0A5S7H4747114711066Saskatoon                                                             CY 06672510011.033099474701199470471101080012  52.125607  -106.61398201SASKATOON                     AA19830401190000010BAN11
S7H0A6S7H4747114711066Saskatoon                                                             CY 06672510012.013099474701107381471101110012  52.122345  -106.60097011SASKATOON                     AA19830401190000010BAN14
S7H0A6S7H4747114711066Saskatoon                                                             CY 06672510011.033099474701199470471101080012  52.125607  -106.61398201SASKATOON                     AA19830401190000010BAN11
S7H0A7S7H4747114711066Saskatoon                                                             CY 06672510014.003099474701107381471101000081  52.121727  -106.63791611SASKATOON                     AA19830401190000010BAA14
S7H0A8S7H4747114711066Saskatoon                                                             CY 06672510014.003099474701107381471101000091  52.121769  -106.63548511SASKATOON                     AA19830401190000010BAA14
S7H0A8S7H4747114711066Saskatoon                                                             CY 06672510014.003099474701107381471101000091  52.121746  -106.63653701SASKATOON                     AA19830401190000010BAA14
S7H0A9S7H4747114711066Saskatoon                                                             CY 06672510012.013099474701107381471101110012  52.122345  -106.60097011SASKATOON                     AA19830401190000010BAN14
S7H0A9S7H4747114711066Saskatoon                                                             CY 06672510011.033099474701199470471101080012  52.125607  -106.61398201SASKATOON                     AA19830401190000010BAN11
S7H0B1S7H4747114711066Saskatoon                                                             CY 06672510011.023099474701107381471100970011  52.121748  -106.63049411SASKATOON                     AA19830401190000010BAA14
S7H0B2S7H4747114711066Saskatoon                                                             CY 06672510011.023099474701107381471100970031  52.121749  -106.62525811SASKATOON                     AA19830401190000010BAA14
S7H0B3S7H4747114711066Saskatoon                                                             CY 06672510011.033099474701107381471101080021  52.121719  -106.61366611SASKATOON                     AA19830401190000010BAA14
S7H0B4S7H4747114711066Saskatoon                                                             CY 06672510011.033099474701107381471101090121  52.121758  -106.60698111SASKATOON                     AA19830401190000010BAA14
S7H0B5S7H4747114711066Saskatoon                                                             CY 06672510012.013099474701107381471101110011  52.122019  -106.60227811SASKATOON                     AA19830401190000010BAA14
S7H0B5S7H4747114711066Saskatoon                                                             CY 06672510012.013099474701107381471101110011  52.122017  -106.60031501SASKATOON                     AA19830401190000010BAA14
S7H0B6S7H4747114711066Saskatoon                                                             CY 06672510012.013099474701107381471101110031  52.121837  -106.60228111SASKATOON                     AA19830401190000010BAA14
S7H0B7S7H4747114711066Saskatoon                                                             CY 06672510012.013099474701107381471101110021  52.121836  -106.60031311SASKATOON                     AA19830401190000010BAA14
S7H0B8S7H4747114711066Saskatoon                                                             CY 06672510014.003099474701107381471101000011  52.120889  -106.64522311SASKATOON                     AA19830401190000010BAA14
S7H0B9S7H4747114711066Saskatoon                                                             CY 06672510014.003099474701107381471101000021  52.120708  -106.64522611SASKATOON                     AA19830401190000010BAA14
S7H0C1S7H4747114711066Saskatoon                                                             CY 06672510014.003099474701107381471101000041  52.120906  -106.64275311SASKATOON                     AA19830401190000010BAA14
