index,postal_code,lat,lng,walkscore,da_id
2821,S7V 0A2,52.099500,-106.566000,47110524,56
2822,S7V 0A3,52.105500,-106.560000,47110506,26
2823,S7V 0A4,52.104000,-106.558500,47110506,26
2824,S7V 0A4,52.105500,-106.557000,47110506,23
2825,S7V 0A4,52.105500,-106.558500,47110506,16
2826,S7V 0A4,52.105500,-106.560000,47110506,26
2827,S7V 0A5,52.107000,-106.557000,47110506,16
2828,S7V 0A5,52.107000,-106.558500,47110506,20
2829,S7V 0A5,52.105500,-106.558500,47110506,16
2830,S7V 0A6,52.107000,-106.557000,47110506,16
2831,S7V 0A6,52.107000,-106.558500,47110506,20
2832,S7V 0A7,52.098000,-106.566000,47110524,57
2833,S7N 5C7,52.131000,-106.644000,47110106,63
2834,S7N 5C5,52.135500,-106.632000,47110106,43
2835,S7N 5C4,52.135500,-106.632000,47110106,43
2836,S7N 5C4,52.135500,-106.630500,47110106,41
2837,S7N 5C2,52.131000,-106.630500,47110106,52
2838,S7N 5C1,52.131000,-106.624500,47110106,34
2839,S7N 5C9,52.132500,-106.636500,47110106,60
2840,S7N 5C8,52.132500,-106.636500,47110106,60
2841,S7K 3E6,52.153500,-106.638000,47110047,29
2842,S7K 3E6,52.153500,-106.642500,47110047,29
2843,S7K 3E7,52.153500,-106.638000,47110047,29
2844,S7K 3E4,52.149000,-106.644000,47110048,44
2845,S7K 3E5,52.150500,-106.644000,47110048,38
2846,S7K 3E5,52.152000,-106.642500,47110051,33
2847,S7K 3E2,52.147500,-106.644000,47110050,49
2848,S7K 3E3,52.150500,-106.644000,47110048,38
2849,S7K 3E3,52.149000,-106.644000,47110048,44
2850,S7N 3S3,52.137000,-106.578000,47110292,37
2851,S7K 3E1,52.147500,-106.644000,47110050,49
2852,S7N 3S9,52.138500,-106.575000,47110291,50
2853,S7N 3S9,52.137000,-106.575000,47110291,42
2854,S7N 3S8,52.137000,-106.578000,47110292,37
2855,S7N 3S8,52.137000,-106.579500,47110292,35
2856,S7K 3E8,52.152000,-106.641000,47110051,25
2857,S7K 3E9,52.152000,-106.642500,47110051,33
2858,S7H 4V9,52.110000,-106.599000,47110450,79
2859,S7H 4V9,52.108500,-106.602000,47110450,62
2860,S7H 4V8,52.107000,-106.590000,47110127,45
2861,S7H 4V3,52.116000,-106.582500,47110123,40
2862,S7W 0P3,52.174500,-106.564500,47110664,13
2863,S7W 0P3,52.171500,-106.563000,47110664,13
2864,S7H 4V1,52.117500,-106.582500,47110123,44
2865,S7W 0P1,52.173000,-106.567500,47110664,14
2866,S7W 0P1,52.173000,-106.569000,47110664,14
2867,S7H 4V7,52.110000,-106.596000,47110128,73
2868,S7H 4V6,52.110000,-106.596000,47110128,73
2869,S7H 4V5,52.116000,-106.582500,47110123,40
2870,S7H 4V4,52.117500,-106.579500,47110469,43
2871,S7K 2A6,52.162500,-106.660500,47110049,43
2872,S7K 2A5,52.161000,-106.660500,47110049,48
2873,S7K 2A4,52.159500,-106.660500,47110049,51
2874,S7K 2A3,52.158000,-106.660500,47110049,47
2875,S7K 2A2,52.164000,-106.660500,47110049,43
2876,S7K 2A1,52.158000,-106.660500,47110049,47
2877,S7K 2A1,52.155000,-106.660500,47110049,57
2878,S7K 2A9,52.129500,-106.663500,47110065,98
2879,S7K 2A8,52.162500,-106.660500,47110049,43
2880,S7H 2H9,52.108500,-106.639500,47110088,67
2881,S7H 2H8,52.110000,-106.639500,47110088,68
2882,S7H 2H7,52.110000,-106.639500,47110088,68
2883,S7H 2H6,52.111500,-106.639500,47110088,71
2884,S7H 2H5,52.111500,-106.639500,47110088,71
2885,S7H 2H4,52.113000,-106.639500,47110089,75
2886,S7H 2H3,52.113000,-106.639500,47110089,75
2887,S7H 2H2,52.114500,-106.639500,47110089,84
2888,S7H 2H1,52.114500,-106.639500,47110089,84
2889,S7J 4K2,52.098000,-106.588500,47110134,53
2890,S7J 4K3,52.099500,-106.590000,47110516,51
2891,S7J 4K1,52.096500,-106.590000,47110134,54
2892,S7J 4K6,52.096500,-106.587000,47110134,44
2893,S7J 4K7,52.095000,-106.591500,47110134,48
2894,S7J 4K4,52.093500,-106.591500,47110146,33
2895,S7J 4K5,52.095000,-106.588500,47110146,33
2896,S7J 4K8,52.096500,-106.588500,47110134,42
2897,S7J 4K9,52.095000,-106.591500,47110134,48
2898,S7K 1L2,52.125000,-106.666500,47110066,98
2899,S7J 2C1,52.107000,-106.630500,47110160,65
2900,S7M 0S7,52.128000,-106.686000,47110570,83
2901,S7M 0S7,52.128000,-106.695000,47110566,79
2902,S7M 0S7,52.129500,-106.707000,47110559,77
2903,S7M 0S7,52.128000,-106.702500,47110560,78
2904,S7M 0S6,52.129500,-106.687500,47110571,83
2905,S7M 0S1,52.129500,-106.683000,47110570,88
2906,S7J 2C6,52.101000,-106.629000,47110444,66
2907,S7J 2C7,52.099500,-106.626000,47110161,70
2908,S7J 5C3,52.092000,-106.579500,47110522,46
2909,S7J 5C3,52.092000,-106.575000,47110520,41
2910,S7J 5C2,52.092000,-106.576500,47110522,49
2911,S7J 5C2,52.092000,-106.579500,47110522,46
2912,S7J 5C1,52.093500,-106.579500,47110521,47
2913,S7J 5C7,52.092000,-106.576500,47110522,49
