trip_id,route_id,block_id,shape_id,service_id,direction,bikes,wheelchairs,headsign
977649,10090,a_52477,73308,1_merged_979947,1,0,0,City Centre
957243,10099,a_51691,73349,1_merged_979947,0,0,0,Stonebridge
957348,10099,a_51696,73349,2_merged_979949,0,0,0,Stonebridge
960048,10152,a_51652,73586,3_merged_979948,1,0,0,Centre Mall via Main
969284,10221,b_52153,74008,2_merged_979952,1,0,0,Confederation via City Centre
955439,10087,a_51618,73271,1_merged_979947,0,0,0,City Centre
956005,10089,a_51633,73295,1_merged_979947,0,0,0,Centre Mall
955467,10087,a_51618,73275,1_merged_979947,0,0,0,Broadway
956079,10089,a_51641,73304,1_merged_979947,1,0,0,City Centre
979921,10313,a_52499,74422,1_merged_979947,0,0,0,None
962792,10164,b_51921,73674,3_merged_979951,0,0,0,Centre Mall
979491,10098,a_51612,73345,1_merged_979947,0,0,0,City Centre
955943,10088,a_51569,73291,3_merged_979948,1,0,0,City Centre
978601,10161,b_51878,74417,1_merged_979950,1,0,0,City Centre
977943,10163,b_51835,73666,1_merged_979950,1,0,0,City Centre
958621,10126,a_51768,73470,1_merged_979947,1,0,0,City Centre
959837,10151,a_51649,73578,2_merged_979949,0,0,0,University via Taylor
964023,10175,b_51976,73732,3_merged_979951,1,0,0,College Park
959735,10150,a_51772,73575,2_merged_979949,1,0,0,Kensington
979738,10173,b_51925,73721,1_merged_979950,1,0,0,Valley Road
962084,10162,b_51889,73663,1_merged_979950,1,0,0,Broadway
956887,10096,a_51681,73333,1_merged_979947,1,0,0,University
964299,10183,b_51999,73761,1_merged_979950,0,0,0,Lawson Heights
979762,10177,b_51941,73735,2_merged_979952,0,0,0,City Centre
979748,10173,b_51878,73722,1_merged_979950,1,0,0,Valley Road
962823,10164,b_51921,73680,3_merged_979951,1,0,0,City Centre
965422,10215,b_52195,73903,1_merged_979950,0,0,0,Lakeridge
979520,10098,a_51608,73345,1_merged_979947,0,0,0,City Centre
955225,10086,a_51613,73256,2_merged_979949,0,0,0,Not In Service
955909,10088,a_51564,73291,2_merged_979949,1,0,0,City Centre
963669,10173,b_51883,73721,2_merged_979952,1,0,0,Valley Road
959766,10151,a_51631,73578,1_merged_979947,0,0,0,University via Taylor
977928,10163,b_51836,73665,1_merged_979950,0,0,0,Dundonald
965325,10202,b_52010,73851,3_merged_979951,1,0,0,University
966032,10224,b_52056,73942,2_merged_979952,1,0,0,Hampton Village
956857,10096,a_51677,73326,1_merged_979947,0,0,0,University
956396,10090,a_51588,73310,2_merged_979949,1,0,0,City Centre
959394,10147,a_51799,73555,2_merged_979949,1,0,0,None
962302,10162,b_51895,73659,3_merged_979951,1,0,0,Market Mall
966648,10229,b_52061,73970,2_merged_979952,1,0,0,Centre Mall
978772,10161,b_52490,73644,3_merged_979951,1,0,0,Confederation Terminal
957624,10102,a_51673,73361,2_merged_979949,0,0,0,City Centre
959773,10151,a_51639,73578,1_merged_979947,0,0,0,University via Taylor
977863,10157,b_51839,73606,2_merged_979952,1,0,0,Exhibition
978626,10161,b_51879,73642,1_merged_979950,1,0,0,City Centre
962183,10162,b_51891,73663,2_merged_979952,1,0,0,Broadway
965744,10222,b_52031,73925,1_merged_979950,0,0,0,Confederation Terminal
955939,10088,a_51569,73291,3_merged_979948,1,0,0,City Centre
959608,10149,a_51803,73566,3_merged_979948,1,0,0,Hampton Village
963873,10174,b_51964,73727,3_merged_979951,1,0,0,University
956392,10090,a_51586,73307,2_merged_979949,0,0,0,Riversdale
956209,10089,a_51650,73305,2_merged_979949,1,0,0,Downtown
964763,10197,b_52017,73815,1_merged_979950,0,0,0,Silverwood Heights
978459,10166,b_51926,73687,1_merged_979950,0,0,0,Pleasant Hill
966539,10228,b_51899,73966,1_merged_979950,1,0,0,Stonebridge
956151,10089,a_51646,73296,2_merged_979949,0,0,0,Centre Mall
954500,10082,a_51561,73232,1_merged_979947,1,0,0,Exhibition
957545,10100,a_51710,73356,3_merged_979948,1,0,0,College Park
956736,10095,a_51575,73320,2_merged_979949,0,0,0,City Centre
962328,10162,b_51895,73661,3_merged_979951,1,0,0,City Centre
